bin,n,mean_pred,observed,ece_contrib
"[0,0.1]",143,0.00090580458758769,0.0909090909090909,0.0858031329598331
"(0.1,0.2]",2,0.134710100558048,0,0.00179613467410731
"(0.2,0.3]",1,0.259711454025721,0,0.0017314096935048
"(0.6,0.7]",1,0.61911419366621,0,0.00412742795777474
"(0.9,1]",3,0.995356874403019,0.666666666666667,0.00657380415472704
