quantity,value
frame before correction,827233
frame after correction,824518
comments removed (official moderation),2715
sampled units,4997
sampled units now ineligible,25
hand-coded units,360
hand-coded units now ineligible,2
mean design weight before,165.55
mean design weight after,165
