class,n,precision,recall,f1
trust,39,0.785714285714286,0.564102564102564,0.656716417910448
distrust,54,0.891304347826087,0.759259259259259,0.82
ambivalent,2,0.142857142857143,1,0.25
non_evaluative,55,0.67741935483871,0.763636363636364,0.717948717948718
