term,estimate,se,z,p,odds_ratio,or_low,or_high
(Intercept),-4.01330794949675,0.0442662843614243,-90.6628601743257,0,0.018,0.017,0.02
parent_incivilTRUE,1.26115680548048,0.0643949911706132,19.5847034459415,2.08819033528184e-85,3.53,3.111,4.004
log_words,0.188456143916853,0.0204022542857214,9.23702554029749,2.53444583686769e-20,1.207,1.16,1.257
depth_c,0.427421932544555,0.0168173274792233,25.4155681437855,1.69695548277887e-142,1.533,1.484,1.585
